"cod_dpto","nom_dpto","cod_prov","nom_prov","nom_cap","num_dist","sup_tot","pob_total","total_pers","c5_p2_1","c5_p2_2","num_viv_pa","num_viv_op","num_hog","almenosuna","c1nbi_abs","c2nbi_abs","c3nbi_abs","c4nbi_abs","c5nbi_abs","nbi1_abs","nbi2_abs","nbi3_abs","nbi4_abs","nbi5_abs","vs_sh","vs_agua_rp","vs_aelec","v_ptierra","v_1hab","h_lenna","h_cocin","hs_pclptb","hs_tcelu","hs_inter","pet","pea","peao","pead","pei","c5_p12_2","c5_p12_1","c5_p8_6","c5_p8_1","c5_p9_3","c5_p9_4","c5_p9_5","c5_p9_6","c5_p10_1","c5_p10_4","gr_edad_1","gr_edad_2","gr_edad_3","gr_edad_4","gr_edad_5","gr_quin_1","gr_quin_2","gr_quin_3","gr_quin_4","gr_quin_5","p_sex_h","p_sex_m","almenosu_1","c1nbi_porc","c2nbi_porc","c3nbi_porc","c4nbi_porc","c5nbi_porc","nbi1_porc","nbi2_porc","nbi3_porc","nbi4_porc","nbi5_porc","pvs_sh","pvs_agua_r","pvs_aelec","pv_ptierra","pv_1hab","ph_cocin","phs_pclptb","phs_tcelu","phs_inter","p_pet","p_pea","p_pea_o","p_pea_d","p_pei","p_lees_no","p_lees_si","p_af_ning","p_af_sis","p_dl_hab","p_dl_mov","p_dl_ent","p_dl_rel","p_dni","p_no_docum","p_ge_0a14","p_ge_15a29","p_ge_30a44","p_ge_45a64","p_ge_65ym","pgr_quin1","pgr_quin2","pgr_quin3","pgr_quin4","pgr_quin5","fuente"
"6","CAJAMARCA","601","CAJAMARCA","CAJAMARCA","12","2,979.78","348,433","339,339","166,733","181,700","114,234","87,524","96,177","74,473","60,733","12,039","1,566","135","0","6,786","43,746","6,990","7,572","24,955","34,486","9,676","11,889","39,128","20,254","53,369","55,009","66,298","17,197","73,054","255,620","133,061","123,847","9,214","122,559","51,236","278,095","81,865","178,141","1,597","7,027","2,659","1,565","346,268","528","98,893","91,014","76,815","46,436","35,275","33,047","34,029","31,817","28,966","31,615","47.852241","52.147759","21.94649","17.897442","3.54778","0.461485","0.039783","0","1.99977","12.891533","2.059887","2.231397","7.354003","39.401764","11.055253","13.583703","44.705452","23.141081","57.195587","68.933321","17.880574","75.957869","73.362741","38.188404","35.543993","2.644411","35.174338","14.704692","79.813049","23.495191","51.126328","0.458338","2.016744","0.763131","0.449154","99.378647","0.151536","28.382214","26.120947","22.045845","13.327096","10.123898","9.484463","9.766297","9.131454","8.313219","9.07348","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","602","CAJABAMBA","CAJABAMBA","4","1,807.64","75,687","73,920","37,220","38,467","27,204","20,146","21,032","22,582","17,085","4,757","650","90","0","714","10,384","2,738","3,423","11,650","13,129","3,406","4,995","15,806","4,045","17,790","17,846","19,277","5,893","19,928","51,473","23,516","22,451","1,065","27,957","14,732","56,290","11,390","56,918","527","1,768","592","326","74,652","452","25,846","16,704","14,410","9,922","8,805","8,251","8,951","8,644","6,276","5,215","49.176213","50.823787","30.549242","23.112825","6.435335","0.879329","0.121753","0","0.965909","14.047619","3.704004","4.630682","15.760281","65.169264","16.906582","24.794004","78.457262","20.078427","84.851655","91.655572","28.019209","94.750856","68.007716","31.070065","29.662954","1.407111","36.937651","19.464373","74.372085","15.048819","75.201818","0.696289","2.335936","0.782169","0.430721","98.632526","0.597196","34.148533","22.06984","19.038937","13.109253","11.633438","10.901476","11.826337","11.42072","8.292045","6.890219","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","603","CELENDIN","CELENDIN","12","2,641.59","79,084","78,127","38,180","40,904","33,899","23,045","23,898","25,814","19,265","5,833","658","58","0","880","17,099","3,646","2,392","9,120","16,244","6,088","6,010","18,625","8,510","20,364","20,556","22,034","8,350","22,851","56,315","26,752","25,326","1,426","29,563","15,282","59,726","9,268","63,004","828","1,991","870","530","78,326","216","24,555","17,394","15,432","11,359","10,344","7,337","8,426","8,792","6,792","5,415","48.277781","51.722219","33.041074","24.658569","7.466049","0.842218","0.074238","0","1.126371","21.88616","4.666761","3.061682","11.673301","70.488175","26.417878","26.07941","80.820135","36.92775","86.015566","92.200184","34.940162","95.61888","71.209094","33.827323","32.024177","1.803146","37.381771","19.323757","75.52223","11.719185","79.667189","1.046988","2.517576","1.100096","0.670173","99.041525","0.273127","31.049264","21.994335","19.513429","14.363209","13.079763","9.277477","10.654494","11.117293","8.588336","6.84715","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","604","CHOTA","CHOTA","19","3,795.10","142,984","140,840","68,227","74,757","62,009","42,729","44,493","54,981","39,756","12,614","2,323","278","10","13,827","30,861","11,882","3,235","13,310","29,493","12,219","5,226","31,616","16,690","37,302","38,300","40,585","11,209","42,334","105,382","48,242","45,979","2,263","57,140","29,722","106,395","18,903","110,990","1,246","4,147","1,400","1,165","141,814","566","40,434","30,041","29,232","22,572","20,705","12,100","13,845","14,489","12,077","9,085","47.716528","52.283472","39.037915","28.227776","8.956262","1.649389","0.197387","0.0071","9.817523","21.912099","8.436524","2.296933","9.45044","69.02338","28.596504","12.230569","73.991902","39.060123","86.080957","91.216596","25.192727","95.147551","73.701953","33.739439","32.156745","1.582695","39.962513","20.786941","74.410424","13.22036","77.62407","0.871426","2.900325","0.979131","0.814776","99.181727","0.395848","28.278689","21.010043","20.444246","15.786382","14.480641","8.462485","9.682902","10.133302","8.4464","6.353858","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","605","CONTUMAZA","CONTUMAZA","8","2,070.33","27,693","27,302","13,792","13,901","13,147","8,739","9,088","7,891","6,253","1,255","317","66","0","429","2,322","4,631","757","1,839","4,936","2,249","2,548","5,579","1,333","6,774","6,807","8,279","2,817","8,649","20,698","9,365","8,814","551","11,333","3,517","22,855","2,992","20,580","244","1,080","355","208","27,443","75","7,529","5,364","5,462","4,631","4,707","2,307","2,540","2,682","2,010","1,668","49.803199","50.196801","28.902644","22.903084","4.596733","1.161087","0.241741","0","1.571313","8.504871","16.962127","2.772691","6.73577","56.482435","25.73521","29.156654","63.840256","15.253461","74.900968","91.098151","30.996919","95.169454","74.740909","33.81721","31.827538","1.989672","40.923699","12.69996","82.529881","10.804174","74.314809","0.881089","3.899903","1.281912","0.751092","99.097245","0.270827","27.187376","19.369516","19.723396","16.722637","16.997075","8.330625","9.171993","9.684758","7.258152","6.023183","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","606","CUTERVO","CUTERVO","15","3,028.46","120,723","118,760","59,608","61,115","45,972","35,741","36,645","49,389","35,325","11,629","2,252","183","0","17,372","32,442","3,961","2,582","9,714","23,742","10,134","9,330","25,997","16,897","30,545","30,934","34,252","10,716","35,278","87,279","41,146","39,645","1,501","46,133","23,863","91,147","6,423","104,181","1,221","4,099","1,545","907","119,821","429","36,091","26,255","24,778","18,188","15,411","10,103","12,429","13,559","10,639","7,721","49.375844","50.624156","41.587235","29.744864","9.792018","1.896261","0.154092","0","14.627821","27.317279","3.335298","2.174133","8.179522","66.427912","28.353991","26.104474","72.737193","47.276237","84.415336","93.469778","29.242734","96.269614","72.296911","34.082983","32.839641","1.243342","38.213928","19.766739","75.50094","5.320444","86.297557","1.011406","3.395376","1.279789","0.751307","99.252835","0.355359","29.895712","21.748134","20.524672","15.065895","12.765587","8.368745","10.29547","11.231497","8.812737","6.395633","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","607","HUALGAYOC","BAMBAMARCA","3","777.15","77,944","74,923","37,568","40,376","40,205","25,053","25,423","24,879","18,694","5,535","613","33","4","2,521","17,395","2,455","2,097","7,287","17,638","6,862","2,864","19,880","13,311","21,832","22,958","23,514","8,246","24,393","58,809","27,910","26,394","1,516","30,899","19,005","55,494","11,481","57,657","680","2,625","829","410","77,427","229","20,533","17,321","17,929","11,814","10,347","6,037","7,138","7,358","6,013","5,400","48.198707","51.801293","33.206092","24.95095","7.387585","0.818173","0.044045","0.005339","3.364788","23.21717","3.276697","2.798874","9.725985","70.402746","27.389933","11.431765","79.351774","53.131362","90.304055","92.491051","32.435196","95.948551","75.450323","35.807759","33.862773","1.944986","39.642564","24.38289","71.19727","14.729806","73.972339","0.872421","3.367803","1.063584","0.526019","99.336703","0.293801","26.343272","22.222365","23.002412","15.157036","13.274915","7.745304","9.157857","9.440111","7.714513","6.928051","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","608","JAEN","JAEN","12","5,232.57","185,432","181,463","93,821","91,611","59,832","49,881","53,105","62,627","47,668","12,581","2,118","255","5","18,434","40,749","7,059","3,674","10,313","21,834","10,370","9,909","23,409","18,623","27,581","28,197","44,325","10,745","48,512","134,555","74,431","71,243","3,188","60,124","27,116","148,414","32,273","126,175","1,718","4,565","2,189","1,339","183,840","650","54,392","46,339","39,060","26,621","19,020","17,240","18,684","18,468","16,622","15,141","50.595906","49.404094","34.51227","26.268716","6.933094","1.16718","0.140525","0.002755","10.158545","22.455817","3.890049","2.024655","5.683252","43.772178","20.789479","19.865279","46.929693","37.334857","53.096695","83.466717","20.2335","91.351097","72.562988","40.139242","38.420014","1.719229","32.423746","14.62315","80.036887","17.404224","68.043811","0.926485","2.461819","1.180487","0.722098","99.141464","0.350533","29.332586","24.989754","21.064325","14.356206","10.257129","9.297209","10.075931","9.959446","8.963933","8.165257","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","609","SAN IGNACIO","SAN IGNACIO","7","4,977.08","130,620","129,284","67,797","62,823","42,558","36,004","37,238","50,570","36,296","11,453","2,525","284","12","21,841","26,729","6,045","3,806","9,552","21,480","7,804","9,197","26,031","11,745","29,531","29,674","35,169","11,397","36,456","88,604","49,406","48,322","1,084","39,198","22,273","100,449","16,812","106,271","1,094","2,799","1,231","785","129,401","467","44,888","30,885","26,256","16,634","11,957","14,120","15,438","15,330","12,282","9,314","51.903996","48.096004","39.115436","28.074626","8.858791","1.953065","0.219671","0.009282","16.893815","20.674639","4.675753","2.943906","7.388385","59.660038","21.675369","25.544384","72.3003","32.621375","79.687416","94.443848","30.605833","97.899995","67.83341","37.824223","36.994335","0.829888","30.009187","17.051753","76.9017","12.870923","81.358904","0.837544","2.142857","0.942428","0.60098","99.066759","0.357526","34.365335","23.644924","20.101056","12.73465","9.154035","10.809983","11.819017","11.736334","9.402848","7.130608","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","610","SAN MARCOS","SAN MARCOS","7","1,362.32","48,103","47,454","23,638","24,465","19,678","14,584","14,888","12,509","10,242","1,992","269","6","0","849","5,971","1,972","1,102","5,163","10,473","3,103","3,061","11,578","3,457","13,077","13,136","14,026","4,926","14,501","34,436","14,965","14,272","693","19,471","9,967","35,537","4,891","39,033","326","1,080","321","232","47,611","151","14,594","10,046","9,709","7,277","6,477","4,623","4,964","5,007","3,666","3,179","49.140386","50.859614","26.360265","21.583007","4.197749","0.566865","0.012644","0","1.789101","12.582712","4.155603","2.322249","10.88001","71.811574","21.276742","20.988755","79.388371","23.704059","88.232133","94.210102","33.08705","97.400591","71.588051","31.110326","29.669667","1.440659","40.477725","20.720121","73.876889","10.167765","81.144627","0.677712","2.245182","0.667318","0.482298","98.977195","0.31391","30.339064","20.884352","20.183772","15.127955","13.464857","9.610627","10.319523","10.408914","7.621146","6.608735","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","611","SAN MIGUEL","SAN MIGUEL DE PALLAQUES","13","2,542.08","46,043","45,276","22,298","23,745","20,822","15,104","15,433","13,768","10,919","2,437","391","21","0","2,500","6,666","4,857","761","2,266","11,410","4,175","3,572","12,654","4,710","13,835","13,905","14,788","3,580","15,182","34,865","16,179","15,403","776","18,686","7,466","36,560","4,308","38,181","347","1,807","609","323","45,692","137","11,929","8,367","9,433","8,163","8,151","3,527","4,054","4,348","3,114","2,485","48.428643","51.571357","30.409047","24.11653","5.382543","0.863592","0.046382","0","5.521689","14.723032","10.727538","1.680802","5.004859","75.542903","27.641684","23.649364","83.779131","31.183792","90.099138","95.820644","23.197045","98.373615","75.722694","35.138892","33.453511","1.685381","40.583802","16.215277","79.404035","9.356471","82.924657","0.753643","3.924592","1.322677","0.701518","99.237669","0.297548","25.90839","18.172143","20.487371","17.729079","17.703017","7.660231","8.804813","9.443346","6.763243","5.397129","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","612","SAN PABLO","SAN PABLO","4","672.29","21,102","20,994","10,014","11,088","8,986","6,408","6,562","5,285","4,238","940","100","7","0","583","2,125","932","705","2,101","4,837","1,224","1,794","5,254","1,147","6,000","6,023","6,240","1,542","6,360","15,111","7,010","6,528","482","8,101","4,183","15,833","1,421","17,931","110","573","190","116","21,024","24","6,384","4,296","4,121","3,289","3,012","1,867","2,124","2,393","1,538","1,352","47.455218","52.544782","25.173859","20.18672","4.47747","0.476327","0.033343","0","2.776984","10.12194","4.439364","3.358102","10.007621","75.48377","19.101124","27.996255","81.991261","17.899501","91.786041","95.092959","23.498933","96.92167","71.609326","33.2196","30.935456","2.284144","38.389726","19.822766","75.030803","6.733959","84.972988","0.521278","2.715382","0.900389","0.549711","99.630367","0.113733","30.253057","20.35826","19.528955","15.5862","14.273529","8.847503","10.065397","11.340157","7.288409","6.406976","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"6","CAJAMARCA","613","SANTA CRUZ","SANTA CRUZ DE SUCCHABAMBA","11","1,417.93","37,164","35,418","18,738","18,426","14,880","11,265","11,626","14,318","10,460","3,159","635","64","0","2,634","9,769","3,762","843","1,931","6,939","2,810","2,273","9,126","5,567","10,103","10,207","11,028","3,612","11,369","27,958","13,525","13,088","437","14,433","6,277","29,173","3,176","29,075","362","1,382","450","335","36,898","104","9,960","7,096","7,552","6,246","6,310","2,903","3,350","3,707","2,813","2,148","50.419761","49.580239","40.425772","29.533006","8.919194","1.792874","0.180699","0","7.436896","27.58202","10.621718","2.380146","5.45203","61.59787","24.944518","20.177541","81.011984","49.418553","87.794598","94.856356","31.068295","97.789437","75.228716","36.392746","35.216877","1.175869","38.83597","16.890001","78.498009","8.545905","78.234313","0.974061","3.718652","1.210849","0.90141","99.284254","0.279841","26.800129","19.093747","20.320741","16.806587","16.978797","7.811323","9.0141","9.974707","7.569153","5.779787","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"7","CALLAO","701","CALLAO","CALLAO","7","145.91","994,494","975,968","485,782","508,712","281,882","244,820","266,228","137,477","124,044","12,532","875","26","0","44,744","73,664","4,886","18,982","9,561","18,263","12,763","4,209","13,962","33,791","5,806","8,018","137,507","21,995","148,539","766,805","474,434","445,072","29,362","292,371","67,582","881,563","220,427","312,949","7,367","25,165","11,219","8,541","982,687","2,097","243,225","246,305","223,547","158,260","123,157","78,810","83,938","80,477","76,680","87,191","48.847152","51.152848","14.08622","12.709843","1.284058","0.089655","0.002664","0","4.584577","7.547788","0.500631","1.944941","0.979643","7.459766","5.213218","1.719222","5.702965","13.802385","3.011704","51.650089","8.261716","55.793906","77.10504","47.70607","44.753613","2.952456","29.398971","6.795617","88.644376","22.164739","31.468164","0.740779","2.530433","1.128111","0.858829","98.812763","0.210861","24.457161","24.766866","22.478466","15.91362","12.383886","7.924633","8.440272","8.092256","7.710454","8.767373","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","801","CUSCO","CUSCO","8","617","447,588","431,311","216,399","231,189","124,729","106,631","126,363","51,825","47,877","3,645","280","23","0","1,803","37,208","7,172","4,515","5,401","5,925","5,088","3,389","20,025","17,610","15,036","18,100","61,481","7,081","79,676","346,344","228,172","213,991","14,181","118,172","35,699","390,423","145,241","143,128","2,672","10,830","4,526","3,410","442,859","890","108,378","127,102","102,545","65,360","44,203","36,800","36,215","35,363","41,141","44,571","48.347811","51.652189","12.015692","11.100343","0.845098","0.064918","0.005333","0","0.418028","8.626722","1.662837","1.046808","1.252229","5.556545","4.771596","3.17825","18.779717","16.514897","14.323813","48.654274","5.603697","63.053267","77.380091","50.978132","47.809816","3.168316","26.401959","7.975862","87.22821","32.449708","31.977622","0.596978","2.419636","1.011198","0.761861","98.943448","0.198844","24.213786","28.397097","22.910578","14.602715","9.875823","8.221847","8.091146","7.900793","9.191712","9.958042","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","802","ACOMAYO","ACOMAYO","7","948.22","22,940","22,098","11,215","11,725","11,768","6,905","7,155","7,343","5,686","1,396","256","5","0","111","2,852","3,679","503","2,121","2,453","840","1,541","6,112","1,764","6,314","8,448","6,806","2,821","7,090","16,587","8,496","7,969","527","8,091","4,751","17,195","2,418","19,065","183","1,359","468","284","22,780","53","6,899","5,016","3,900","3,762","3,363","1,749","2,320","2,830","2,422","1,413","48.888405","51.111595","33.229252","25.730835","6.317314","1.158476","0.022626","0","0.502308","12.906145","16.648565","2.276224","9.598154","35.524982","12.165098","22.317161","88.515568","25.546705","118.071279","95.122292","39.426974","99.091544","72.306016","37.035745","34.738448","2.297297","35.27027","20.710549","74.956408","10.540541","83.108108","0.797733","5.92415","2.040105","1.238012","99.302528","0.231037","30.074106","21.865737","17.000872","16.399303","14.659983","7.624237","10.113339","12.33653","10.557977","6.159547","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","803","ANTA","ANTA","9","1,876.12","56,206","54,571","27,711","28,495","22,683","15,527","16,750","16,637","13,392","2,765","443","37","0","584","7,473","7,833","910","3,599","6,025","1,881","2,864","12,145","4,041","13,844","15,503","15,389","4,378","15,798","42,055","20,931","19,593","1,338","21,124","9,494","43,808","11,013","40,044","439","2,217","682","450","55,809","123","15,316","13,685","10,520","9,105","7,580","4,941","4,883","5,492","5,217","4,464","49.302566","50.697434","30.486889","24.540507","5.066794","0.811786","0.067802","0","1.070165","13.694087","14.353778","1.667552","6.595078","38.803375","12.114381","18.445289","78.218587","26.025633","92.555224","91.874627","26.137313","94.316418","74.822973","37.239796","34.859268","2.380529","37.583176","16.891435","77.941857","19.593994","71.245063","0.781055","3.944419","1.213394","0.800626","99.29367","0.218838","27.24976","24.347934","18.716863","16.199338","13.486105","8.790876","8.687685","9.771199","9.281927","7.942213","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","804","CALCA","CALCA","8","4,414.49","63,155","61,719","31,092","32,063","24,173","18,173","19,059","21,492","15,678","4,854","763","135","62","4,754","10,787","5,777","1,561","5,646","5,977","3,493","4,140","12,886","6,215","13,461","15,514","17,044","6,620","18,016","46,182","25,980","24,436","1,544","20,202","12,164","47,810","11,241","46,196","537","2,734","1,371","723","62,393","295","18,445","15,040","12,850","9,538","7,282","5,539","5,884","7,022","5,948","4,785","49.231256","50.768744","34.82234","25.402226","7.864677","1.236248","0.218733","0.100455","7.702652","17.4776","9.360165","2.529205","9.147912","32.889451","19.220822","22.781049","70.90739","34.199087","81.399864","89.427567","34.734246","94.52752","73.124852","41.136885","38.692107","2.444779","31.987966","19.260549","75.702636","17.799066","73.147019","0.850289","4.329032","2.170849","1.144802","98.793445","0.467105","29.205922","23.814425","20.346766","15.102526","11.530362","8.770485","9.31676","11.118676","9.418098","7.576597","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","805","CANAS","YANAOCA","8","2,103.76","32,484","31,276","15,949","16,535","18,041","10,519","10,701","11,735","9,505","1,931","289","10","0","153","3,918","6,643","512","3,048","6,860","4,214","3,965","9,699","3,196","2,102","11,178","10,432","4,981","10,646","24,011","9,872","7,744","2,128","14,139","6,438","24,636","3,345","27,962","252","2,033","828","410","32,355","34","9,340","7,425","5,564","5,443","4,712","2,452","2,839","4,049","3,529","2,169","49.098017","50.901983","37.520783","30.390715","6.174063","0.924031","0.031973","0","0.489193","12.527177","21.239928","1.637038","9.745492","65.215325","40.060842","37.693697","92.204582","30.383116","104.457527","97.486216","46.547052","99.486029","73.91639","30.390346","23.839429","6.550917","43.526044","19.818988","75.840414","10.297377","86.079301","0.775767","6.258466","2.548947","1.26216","99.602881","0.104667","28.752617","22.857407","17.128432","16.755941","14.505603","7.548331","8.739687","12.464598","10.86381","6.677133","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","806","CANCHIS","SICUANI","8","3,999.27","95,774","93,760","45,861","49,913","39,421","27,222","30,044","20,851","17,341","3,045","405","60","0","1,126","9,202","8,725","1,284","4,549","9,711","3,289","4,679","18,169","5,121","15,428","25,244","25,411","7,176","25,526","72,108","43,124","39,690","3,434","28,984","14,649","76,778","21,777","60,556","681","4,047","1,821","995","95,276","172","25,864","24,516","18,620","14,892","11,882","7,746","8,299","9,819","9,409","8,159","47.884603","52.115397","22.238695","18.495094","3.247654","0.431954","0.063993","0","1.200939","9.81442","9.305674","1.369454","4.851749","35.673352","12.082139","17.188304","66.74381","18.81199","84.023432","84.579284","23.884969","84.962056","75.289745","45.026834","41.44131","3.585524","30.262911","15.295383","80.165807","22.737904","63.228016","0.711049","4.225573","1.901351","1.038904","99.480026","0.179589","27.005242","25.597761","19.441602","15.549105","12.40629","8.08779","8.665191","10.252261","9.824169","8.519014","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","807","CHUMBIVILCAS","SANTO TOMAS","8","5,371.08","66,410","63,071","33,764","32,646","31,209","20,650","21,268","26,383","19,744","5,370","1,119","146","4","4,664","6,995","14,219","1,398","7,169","14,532","5,805","7,958","17,204","5,233","10,536","21,414","19,996","9,169","21,039","48,060","23,858","20,958","2,900","24,202","14,000","49,451","7,361","54,137","462","2,910","1,292","767","65,741","240","20,099","14,264","12,562","10,481","9,004","5,319","6,547","8,233","6,314","3,994","50.841741","49.158259","41.830635","31.304403","8.514214","1.774191","0.231485","0.006342","7.394841","11.090676","22.544434","2.21655","11.366555","70.372881","28.11138","38.53753","83.312349","25.341404","100.686477","94.019184","43.111717","98.923265","72.368619","35.925312","31.5585","4.366812","36.443307","21.081162","74.463183","11.084174","81.519349","0.695678","4.38187","1.94549","1.154947","98.992622","0.361391","30.26502","21.478693","18.915826","15.782262","13.558199","8.009336","9.858455","12.397229","9.507604","6.014154","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","808","ESPINAR","YAURI","8","5,311.09","57,582","53,346","29,537","28,045","29,773","17,909","19,170","13,396","11,314","1,906","176","0","0","1,528","5,472","5,356","912","2,386","7,769","5,777","6,926","11,991","4,029","2,217","12,400","16,575","5,234","18,305","42,423","24,322","21,964","2,358","18,101","8,162","46,527","13,849","32,449","403","2,162","844","613","57,238","84","16,425","13,601","12,604","8,399","6,553","5,263","5,379","5,783","4,986","4,189","51.295544","48.704456","25.111536","21.208713","3.572901","0.329922","0","0","2.86432","10.257564","10.040115","1.709594","4.472688","43.380423","32.257524","38.673293","66.955162","22.497069","64.684403","86.463224","27.303078","95.487741","73.674065","42.238894","38.143864","4.09503","31.435171","14.174568","80.801292","24.050919","56.35268","0.699871","3.754646","1.465736","1.064569","99.402591","0.145879","28.524539","23.620229","21.888785","14.586155","11.380292","9.140009","9.341461","10.043069","8.658956","7.274843","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","809","LA CONVENCION","QUILLABAMBA","14","30,061.82","147,148","127,361","77,615","69,533","60,397","41,061","42,754","57,048","38,991","14,291","3,216","478","72","36,531","25,395","6,139","4,620","6,808","13,524","11,505","9,010","26,382","16,338","30,059","30,258","38,488","12,725","40,811","110,611","68,697","64,481","4,216","41,914","21,174","119,262","37,067","93,122","1,187","4,877","1,913","1,122","145,429","772","39,370","36,139","32,735","23,659","15,245","11,697","12,860","14,813","12,580","11,761","52.746215","47.253785","44.792362","30.614552","11.22086","2.525106","0.375311","0.056532","28.683035","19.939385","4.820157","3.627484","5.345435","32.936363","28.019288","21.942963","64.250749","39.789581","70.772325","90.021986","29.763297","95.455396","75.169897","46.68565","43.820507","2.865143","28.484247","14.389594","81.049012","25.190285","63.284584","0.806671","3.31435","1.300052","0.762498","98.831788","0.524642","26.755376","24.559627","22.24631","16.07837","10.360318","7.94914","8.7395","10.066736","8.549216","7.992633","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
"8","CUSCO","810","PARURO","PARURO","9","1,984.42","25,567","24,832","12,819","12,748","11,739","8,023","8,200","8,779","6,872","1,648","247","12","0","217","3,186","4,409","694","2,451","3,118","943","2,177","7,368","2,248","7,367","8,554","7,982","4,388","8,115","18,941","9,015","8,428","587","9,926","6,007","18,467","2,294","22,122","223","1,011","440","292","25,324","132","7,190","5,058","4,491","4,589","4,239","1,918","2,418","2,854","2,278","1,443","50.138851","49.861149","35.353576","27.673969","6.636598","0.994684","0.048325","0","0.873872","12.830219","17.755316","2.794781","9.870329","38.863268","11.753708","27.134488","91.835972","28.019444","104.317073","97.341463","53.512195","98.963415","74.08378","35.260296","32.964368","2.295928","38.823483","23.49513","72.229828","8.972504","86.525599","0.872218","3.954316","1.720968","1.142097","99.049556","0.516291","28.122189","19.783314","17.565612","17.948919","16.579966","7.501858","9.457504","11.162827","8.909923","5.643994","Instituto Nacional de Estadística e Informática (INEI). Censos Nacionales 2017: XII de Población, VII de Vivienda y III de Comunidades Indígenas"
